Sequence 1, is of length 4080, mapped to Original, on beginning location of: 11173
Sequence 1261, is of length 9166, mapped to Complement, on beginning location of: 3292046
Sequence 1264, is of length 2113, mapped to Complement, on beginning location of: 10244
Sequence 1267, is of length 4246, mapped to Original, on beginning location of: 629
Sequence 1270, is of length 1858, mapped to Complement, on beginning location of: 650612
Sequence 1273, is of length 1168, mapped to Original, on beginning location of: 1359331
Sequence 1276, is of length 3863, mapped to Complement, on beginning location of: 960291
Sequence 1279, is of length 2725, mapped to Original, on beginning location of: 2534361
Sequence 1282, is of length 3549, mapped to Original, on beginning location of: 1657435
Sequence 1285, is of length 1719, mapped to Original, on beginning location of: 10441
Sequence 1288, is of length 4552, mapped to Complement, on beginning location of: 14175
Sequence 1291, is of length 3078, mapped to Original, on beginning location of: 3242386
Sequence 1294, is of length 3539, mapped to Complement, on beginning location of: 218097
Sequence 1297, is of length 4913, mapped to Original, on beginning location of: 12019
Sequence 1300, is of length 6482, mapped to Complement, on beginning location of: 2926995
Sequence 1303, is of length 1637, mapped to Original, on beginning location of: 2159305
Sequence 1306, is of length 10479, mapped to Complement, on beginning location of: 1232017
Sequence 1309, is of length 1264, mapped to Original, on beginning location of: 24003
Sequence 1312, is of length 9380, mapped to Original, on beginning location of: 3109211
Sequence 1315, is of length 6016, mapped to Original, on beginning location of: 3158089
Sequence 1318, is of length 5904, mapped to Complement, on beginning location of: 33469
Sequence 1321, is of length 14153, mapped to Original, on beginning location of: 3915324
Sequence 1324, is of length 7083, mapped to Original, on beginning location of: 2509840
Sequence 1327, is of length 4721, mapped to Complement, on beginning location of: 708
Sequence 1330, is of length 8420, mapped to Original, on beginning location of: 21948
Sequence 1333, is of length 3915, mapped to Complement, on beginning location of: 3198074
Sequence 1336, is of length 4235, mapped to Complement, on beginning location of: 3329957
Sequence 1339, is of length 5604, mapped to Original, on beginning location of: 1805098
Sequence 1342, is of length 7547, mapped to Original, on beginning location of: 68202
Sequence 1345, is of length 3512, mapped to Complement, on beginning location of: 1781131
Sequence 1348, is of length 4304, mapped to Original, on beginning location of: 3157703
Sequence 1351, is of length 12633, mapped to Original, on beginning location of: 37467
Sequence 1354, is of length 3051, mapped to Complement, on beginning location of: 5367
Sequence 1357, is of length 4891, mapped to Original, on beginning location of: 3196901
Sequence 1360, is of length 4035, mapped to Original, on beginning location of: 4893
Sequence 1363, is of length 6958, mapped to Complement, on beginning location of: 4064800
Sequence 1366, is of length 5373, mapped to Original, on beginning location of: 22684
Sequence 1369, is of length 1561, mapped to Complement, on beginning location of: 3939622
Sequence 1372, is of length 5202, mapped to Complement, on beginning location of: 705407
Sequence 1375, is of length 1587, mapped to Original, on beginning location of: 2099858
Sequence 1378, is of length 1198, mapped to Complement, on beginning location of: 3258
Sequence 1381, is of length 1626, mapped to Original, on beginning location of: 3462513
Sequence 1384, is of length 7229, mapped to Original, on beginning location of: 2509840
Sequence 1387, is of length 1836, mapped to Complement, on beginning location of: 412706
Sequence 1390, is of length 4325, mapped to Original, on beginning location of: 3524
Sequence 1393, is of length 2791, mapped to Original, on beginning location of: 9599
Sequence 1396, is of length 7896, mapped to Complement, on beginning location of: 460511
Sequence 1399, is of length 2796, mapped to Complement, on beginning location of: 3217797
Sequence 1402, is of length 13463, mapped to Original, on beginning location of: 653836
Sequence 1405, is of length 8191, mapped to Original, on beginning location of: 3470649
Sequence 1408, is of length 2812, mapped to Complement, on beginning location of: 3001214
Sequence 1411, is of length 1984, mapped to Original, on beginning location of: 3505
Sequence 1414, is of length 7679, mapped to Original, on beginning location of: 3597597
Sequence 1417, is of length 3165, mapped to Original, on beginning location of: 1610573
Sequence 1420, is of length 4954, mapped to Original, on beginning location of: 705407
Sequence 1423, is of length 1953, mapped to Complement, on beginning location of: 3821843
Sequence 1426, is of length 4306, mapped to Complement, on beginning location of: 1403809
Sequence 1429, is of length 4322, mapped to Complement, on beginning location of: 37324
Sequence 1432, is of length 8329, mapped to Complement, on beginning location of: 17950
Sequence 1435, is of length 9632, mapped to Original, on beginning location of: 498635
Sequence 1438, is of length 4684, mapped to Original, on beginning location of: 22168
Sequence 1441, is of length 7157, mapped to Complement, on beginning location of: 3340824
Sequence 1444, is of length 5419, mapped to Original, on beginning location of: 22684
Sequence 1447, is of length 6566, mapped to Original, on beginning location of: 2749818
Sequence 1450, is of length 1112, mapped to Complement, on beginning location of: 643407
Sequence 1453, is of length 7971, mapped to Complement, on beginning location of: 1946741
Sequence 1456, is of length 2426, mapped to Complement, on beginning location of: 3016210
Sequence 1459, is of length 9100, mapped to Complement, on beginning location of: 9755
Sequence 1462, is of length 6483, mapped to Complement, on beginning location of: 4354917
Sequence 1465, is of length 1673, mapped to Original, on beginning location of: 257728
Sequence 1468, is of length 5242, mapped to Complement, on beginning location of: 1251
Sequence 1471, is of length 4467, mapped to Original, on beginning location of: 1619294
Sequence 1474, is of length 2077, mapped to Complement, on beginning location of: 3551386
Sequence 1477, is of length 4539, mapped to Complement, on beginning location of: 41752
Sequence 1480, is of length 4654, mapped to Original, on beginning location of: 4619261
Sequence 1483, is of length 1569, mapped to Original, on beginning location of: 2659
Sequence 1486, is of length 5167, mapped to Original, on beginning location of: 462522
Sequence 1489, is of length 6695, mapped to Original, on beginning location of: 3473829
Sequence 1492, is of length 1371, mapped to Complement, on beginning location of: 2419852
Sequence 1495, is of length 4924, mapped to Complement, on beginning location of: 1384
Sequence 1498, is of length 3523, mapped to Complement, on beginning location of: 2322159
Sequence 1501, is of length 7740, mapped to Original, on beginning location of: 23775
Sequence 1504, is of length 2039, mapped to Complement, on beginning location of: 42387
Sequence 1507, is of length 8667, mapped to Complement, on beginning location of: 926531
Sequence 1510, is of length 3008, mapped to Original, on beginning location of: 3658520
Sequence 1513, is of length 1943, mapped to Original, on beginning location of: 2817930
Sequence 1516, is of length 1540, mapped to Complement, on beginning location of: 4614211
Sequence 1519, is of length 3142, mapped to Original, on beginning location of: 32464
Sequence 1522, is of length 4468, mapped to Complement, on beginning location of: 97658
Sequence 1525, is of length 4931, mapped to Original, on beginning location of: 1168660
Sequence 1528, is of length 1456, mapped to Original, on beginning location of: 2436780
Sequence 1531, is of length 3181, mapped to Original, on beginning location of: 18330
Sequence 1534, is of length 2370, mapped to Complement, on beginning location of: 4292
Sequence 1537, is of length 1952, mapped to Complement, on beginning location of: 2684941
Sequence 1540, is of length 1733, mapped to Original, on beginning location of: 2014672
Sequence 1543, is of length 8364, mapped to Original, on beginning location of: 763438
